Rank,City,Divergence,Segregation Category
1,"Detroit city, MI",0.806,High Segregation
2,"Newark city, NJ",0.6806,High Segregation
3,"Hialeah city, FL",0.654,High Segregation
4,"Chicago city, IL",0.6223,High Segregation
5,"Milwaukee city, WI",0.5936,High Segregation
6,"Cleveland city, OH",0.5478,High Segregation
7,"New York city, NY",0.4379,High Segregation
8,"Irving city, TX",0.4082,High Segregation
9,"Miami city, FL",0.4074,High Segregation
10,"St. Louis city, MO",0.4069,High Segregation
11,"Philadelphia city, PA",0.3974,High Segregation
12,"Dallas city, TX",0.3968,High Segregation
13,"Irvine city, CA",0.3876,High Segregation
14,"Santa Ana city, CA",0.3762,High Segregation
15,"Atlanta city, GA",0.363,High Segregation
16,"Oakland city, CA",0.3572,High Segregation
17,"Memphis city, TN",0.3453,High Segregation
18,"Buffalo city, NY",0.3362,High Segregation
19,"Baltimore city, MD",0.3335,High Segregation
20,"Boston city, MA",0.3333,High Segregation
21,"Fremont city, CA",0.3297,High Segregation
22,"Washington city, DC",0.3295,High Segregation
23,"New Orleans city, LA",0.3226,High Segregation
24,"Houston city, TX",0.3187,High Segregation
25,"Los Angeles city, CA",0.3088,High Segregation
26,"Cincinnati city, OH",0.3006,High Segregation
27,"Jersey City city, NJ",0.2953,High Segregation
28,"St. Paul city, MN",0.2949,High Segregation
29,"Orlando city, FL",0.2877,High Segregation
30,"Baton Rouge city, LA",0.2817,High Segregation
31,"Little Rock city, AR",0.2813,High Segregation
32,"Richmond city, VA",0.2794,High Segregation
33,"Tampa city, FL",0.2787,High Segregation
34,"Kansas City city, MO",0.2754,High Segregation
35,"Frisco city, TX",0.2743,High Segregation
36,"Plano city, TX",0.2689,High Segregation
37,"Indianapolis city (balance), IN",0.2538,High Segregation
38,"Chula Vista city, CA",0.2522,High Segregation
39,"San Diego city, CA",0.2514,High Segregation
40,"Phoenix city, AZ",0.2429,High Segregation
41,"Charlotte city, NC",0.2347,High Segregation
42,"St. Petersburg city, FL",0.2278,High Segregation
43,"Scottsdale city, AZ",0.2241,High Segregation
44,"Fort Worth city, TX",0.2232,High Segregation
45,"Omaha city, NE",0.2229,High Segregation
46,"Yonkers city, NY",0.2207,High Segregation
47,"Huntsville city, AL",0.2206,High Segregation
48,"Minneapolis city, MN",0.2206,High Segregation
49,"Pittsburgh city, PA",0.2195,High Segregation
50,"Rochester city, NY",0.2182,High Segregation
51,"Montgomery city, AL",0.2135,High Segregation
52,"Oklahoma City city, OK",0.2119,High Segregation
53,"Tulsa city, OK",0.2118,High Segregation
54,"Columbus city, OH",0.2088,High Segregation
55,"Long Beach city, CA",0.2077,High Segregation
56,"Greensboro city, NC",0.2055,High Segregation
57,"Nashville-Davidson metropolitan government (balance), TN",0.203,High Segregation
58,"Denver city, CO",0.1971,High Segregation
59,"Columbus city, GA",0.1893,High Segregation
60,"North Las Vegas city, NV",0.1888,High Segregation
61,"Raleigh city, NC",0.1878,High Segregation
62,"Norfolk city, VA",0.1858,High Segregation
63,"San Jose city, CA",0.1852,High Segregation
64,"Winston-Salem city, NC",0.1851,High Segregation
65,"Garland city, TX",0.1811,High Segregation
66,"San Francisco city, CA",0.1797,High Segregation
67,"Louisville/Jefferson County metro government (balance), KY",0.1783,High Segregation
68,"Aurora city, CO",0.1756,Low-Medium Segregation
69,"Sacramento city, CA",0.1731,Low-Medium Segregation
70,"Jacksonville city, FL",0.1705,Low-Medium Segregation
71,"McKinney city, TX",0.1698,Low-Medium Segregation
72,"Durham city, NC",0.1686,Low-Medium Segregation
